S.No,City,State,Tier,Web Order Qty,Est. Population,Projected Monthly NTB,Pincode,Area Name,Location Rationale,National IVFs,Regional IVFs
14,Jabalpur,Madhya Pradesh,Tier-2,1114,13 lakh,390,482005,Adhartal,"Defense area, established residential",Indira IVF,"Narmada IVF, Life Spring IVF"
15,Jabalpur,Madhya Pradesh,Tier-2,1114,13 lakh,390,482011,Vijay Nagar,"New development, growing area",Indira IVF,"Narmada IVF, Life Spring IVF"
16,Patiala,Punjab,Tier-2,1111,5 lakh,150,147001,Mall Road/Civil Lines,"City center, premium area",Indira IVF (nearby Chandigarh),Local fertility clinics
17,Patiala,Punjab,Tier-2,1111,5 lakh,150,147002,Model Town,"Planned residential, upper middle class",Indira IVF (nearby Chandigarh),Local fertility clinics
18,Patiala,Punjab,Tier-2,1111,5 lakh,150,147003,Rajpura Road,"Arterial road, commercial",Indira IVF (nearby Chandigarh),Local fertility clinics
19,Patiala,Punjab,Tier-2,1111,5 lakh,150,147004,Passi Road,Growing residential corridor,Indira IVF (nearby Chandigarh),Local fertility clinics
20,Patiala,Punjab,Tier-2,1111,5 lakh,150,147201,Rajpura,"Industrial town, large workforce",Indira IVF (nearby Chandigarh),Local fertility clinics
21,Ernakulam/Kochi,Kerala,Tier-2,1069,21 lakh (metro),630,682024,MG Road/Ernakulam,"CBD, commercial hub","Indira IVF, Nova IVF, Cloudnine","CIMAR Kochi, Craft Hospital, KJK Hospital"
22,Ernakulam/Kochi,Kerala,Tier-2,1069,21 lakh (metro),630,682017,Edappally,"Lulu Mall area, high footfall","Indira IVF, Nova IVF, Cloudnine","CIMAR Kochi, Craft Hospital, KJK Hospital"
23,Ernakulam/Kochi,Kerala,Tier-2,1069,21 lakh (metro),630,682030,Kakkanad,"IT hub, Smart City","Indira IVF, Nova IVF, Cloudnine","CIMAR Kochi, Craft Hospital, KJK Hospital"
24,Ernakulam/Kochi,Kerala,Tier-2,1069,21 lakh (metro),630,682019,Kaloor,"Central residential, stadium area","Indira IVF, Nova IVF, Cloudnine","CIMAR Kochi, Craft Hospital, KJK Hospital"
25,Ernakulam/Kochi,Kerala,Tier-2,1069,21 lakh (metro),630,682301,Aluva,"Metro terminus, growing hub","Indira IVF, Nova IVF, Cloudnine","CIMAR Kochi, Craft Hospital, KJK Hospital"
26,Jodhpur,Rajasthan,Tier-2,1002,13 lakh,390,342001,Station Road/Sojati Gate,"City center, commercial","Indira IVF, Nova IVF","Arihant IVF, Marudhar IVF"
27,Jodhpur,Rajasthan,Tier-2,1002,13 lakh,390,342003,Paota,Premium residential area,"Indira IVF, Nova IVF","Arihant IVF, Marudhar IVF"
28,Jodhpur,Rajasthan,Tier-2,1002,13 lakh,390,342008,Shastri Nagar,Established residential hub,"Indira IVF, Nova IVF","Arihant IVF, Marudhar IVF"
29,Jodhpur,Rajasthan,Tier-2,1002,13 lakh,390,342005,Sardarpura,"Central, institutional area","Indira IVF, Nova IVF","Arihant IVF, Marudhar IVF"
30,Jodhpur,Rajasthan,Tier-2,1002,13 lakh,390,342010,Pal Road,"Growth corridor, new developments","Indira IVF, Nova IVF","Arihant IVF, Marudhar IVF"
31,Mangalore,Karnataka,Tier-2,984,7 lakh,210,575003,Hampankatta,"CBD, commercial hub",Indira IVF,"KMC Manipal Fertility, AJ Hospital IVF"
32,Mangalore,Karnataka,Tier-2,984,7 lakh,210,575001,Balmatta,"Central, institutional area",Indira IVF,"KMC Manipal Fertility, AJ Hospital IVF"
33,Mangalore,Karnataka,Tier-2,984,7 lakh,210,575006,Kadri,Premium residential,Indira IVF,"KMC Manipal Fertility, AJ Hospital IVF"
34,Mangalore,Karnataka,Tier-2,984,7 lakh,210,575004,Bejai,Established residential hub,Indira IVF,"KMC Manipal Fertility, AJ Hospital IVF"
35,Mangalore,Karnataka,Tier-2,984,7 lakh,210,575002,Kankanady,"Medical hub, Father Muller area",Indira IVF,"KMC Manipal Fertility, AJ Hospital IVF"
36,Agartala,Tripura,Tier-3,954,5 lakh,150,799001,Agartala Central,"State capital, CBD",Limited national chain presence,"TMC Hospital, Local fertility clinics"
37,Agartala,Tripura,Tier-3,954,5 lakh,150,799003,Banamalipur,"Commercial area, high footfall",Limited national chain presence,"TMC Hospital, Local fertility clinics"
38,Agartala,Tripura,Tier-3,954,5 lakh,150,799004,Kunjaban,"Govt offices, institutional area",Limited national chain presence,"TMC Hospital, Local fertility clinics"
39,Agartala,Tripura,Tier-3,954,5 lakh,150,799002,Battala,"Residential hub, market area",Limited national chain presence,"TMC Hospital, Local fertility clinics"
40,Agartala,Tripura,Tier-3,954,5 lakh,150,799006,Ramnagar,"Growing residential, educational",Limited national chain presence,"TMC Hospital, Local fertility clinics"
41,Bareilly,Uttar Pradesh,Tier-2,920,10 lakh,300,243001,Bareilly City,"City center, Cantt area",Indira IVF (nearby),Local fertility clinics
42,Bareilly,Uttar Pradesh,Tier-2,920,10 lakh,300,243005,Rajendra Nagar,Premium residential,Indira IVF (nearby),Local fertility clinics
43,Bareilly,Uttar Pradesh,Tier-2,920,10 lakh,300,243002,CB Ganj,"Commercial hub, market area",Indira IVF (nearby),Local fertility clinics
44,Bareilly,Uttar Pradesh,Tier-2,920,10 lakh,300,243003,Izzat Nagar,"Railway town, residential",Indira IVF (nearby),Local fertility clinics
45,Bareilly,Uttar Pradesh,Tier-2,920,10 lakh,300,243122,Pilibhit Road,Growth corridor,Indira IVF (nearby),Local fertility clinics
46,Vishakhapatnam,Andhra Pradesh,Tier-2,850,21 lakh (metro),630,530002,Dwaraka Nagar,"CBD, commercial hub","Indira IVF, Nova IVF","Oasis Fertility, Andhra Hospitals IVF"
47,Vishakhapatnam,Andhra Pradesh,Tier-2,850,21 lakh (metro),630,530016,MVP Colony,Premium residential,"Indira IVF, Nova IVF","Oasis Fertility, Andhra Hospitals IVF"
48,Vishakhapatnam,Andhra Pradesh,Tier-2,850,21 lakh (metro),630,530003,Ram Nagar,Central residential,"Indira IVF, Nova IVF","Oasis Fertility, Andhra Hospitals IVF"
49,Vishakhapatnam,Andhra Pradesh,Tier-2,850,21 lakh (metro),630,530017,Seethammadhara,Upper residential area,"Indira IVF, Nova IVF","Oasis Fertility, Andhra Hospitals IVF"
50,Vishakhapatnam,Andhra Pradesh,Tier-2,850,21 lakh (metro),630,530045,Gajuwaka,"Industrial area, large workforce","Indira IVF, Nova IVF","Oasis Fertility, Andhra Hospitals IVF"
51,Jammu,Jammu & Kashmir,Tier-2,2116,6 lakh,180,180001,Jammu City,"City center, Raghunath Bazaar",Indira IVF,"SMGS Hospital, Acharya Shri IVF"
52,Jammu,Jammu & Kashmir,Tier-2,2116,6 lakh,180,180004,Gandhi Nagar,"Planned colony, premium residential",Indira IVF,"SMGS Hospital, Acharya Shri IVF"
53,Jammu,Jammu & Kashmir,Tier-2,2116,6 lakh,180,180005,Trikuta Nagar,"New development, commercial hub",Indira IVF,"SMGS Hospital, Acharya Shri IVF"
54,Jammu,Jammu & Kashmir,Tier-2,2116,6 lakh,180,180006,Talab Tillo,"Canal Road area, growing residential",Indira IVF,"SMGS Hospital, Acharya Shri IVF"
55,Jammu,Jammu & Kashmir,Tier-2,2116,6 lakh,180,180010,Channi Himmat,"Bypass area, new construction",Indira IVF,"SMGS Hospital, Acharya Shri IVF"
56,Srinagar,Jammu & Kashmir,Tier-2,1047,15 lakh (metro),450,190001,Lal Chowk,"CBD, commercial center",Gaudium IVF,"SKIMS, Kashmir IVF Centre"
57,Srinagar,Jammu & Kashmir,Tier-2,1047,15 lakh (metro),450,190008,Hyderpora,"IT Park area, growing commercial",Gaudium IVF,"SKIMS, Kashmir IVF Centre"
58,Srinagar,Jammu & Kashmir,Tier-2,1047,15 lakh (metro),450,190006,Rajbagh,Premium residential,Gaudium IVF,"SKIMS, Kashmir IVF Centre"
59,Srinagar,Jammu & Kashmir,Tier-2,1047,15 lakh (metro),450,190011,Bemina,"Dense residential, institutional area",Gaudium IVF,"SKIMS, Kashmir IVF Centre"
60,Srinagar,Jammu & Kashmir,Tier-2,1047,15 lakh (metro),450,190010,Nowgam,"Bypass corridor, new development",Gaudium IVF,"SKIMS, Kashmir IVF Centre"
61,Shillong,Meghalaya,Tier-3,1751,4 lakh,120,793001,Police Bazaar,"CBD, commercial hub",None (NE gap),"Nazareth Hospital, Local clinics"
62,Shillong,Meghalaya,Tier-3,1751,4 lakh,120,793003,Laitumkhrah,"Premium residential, commercial",None (NE gap),"Nazareth Hospital, Local clinics"
63,Shillong,Meghalaya,Tier-3,1751,4 lakh,120,793004,Mawlai,"Largest locality, residential hub",None (NE gap),"Nazareth Hospital, Local clinics"
64,Shillong,Meghalaya,Tier-3,1751,4 lakh,120,793014,Nongthymmai,"NEHU area, institutional",None (NE gap),"Nazareth Hospital, Local clinics"
65,Shillong,Meghalaya,Tier-3,1751,4 lakh,120,793006,Rynjah,"Residential area, growing",None (NE gap),"Nazareth Hospital, Local clinics"
66,Imphal,Manipur,Tier-3,1913,5 lakh,150,795001,Imphal Central,"City center, commercial hub",None (NE gap),"RIMS Hospital, Shija Hospital"
67,Imphal,Manipur,Tier-3,1913,5 lakh,150,795003,Singjamei,Dense residential,None (NE gap),"RIMS Hospital, Shija Hospital"
68,Imphal,Manipur,Tier-3,1913,5 lakh,150,795004,Lamphel,"Cantonment area, institutional",None (NE gap),"RIMS Hospital, Shija Hospital"
69,Imphal,Manipur,Tier-3,1913,5 lakh,150,795005,Sagolband,Residential area,None (NE gap),"RIMS Hospital, Shija Hospital"
70,Imphal,Manipur,Tier-3,1913,5 lakh,150,795010,Porompat,"Eastern expansion, growing",None (NE gap),"RIMS Hospital, Shija Hospital"
71,Gangtok,Sikkim,Tier-3,1356,1.5 lakh,45,737101,MG Marg/Central,"City center, tourist hub",None (NE gap),"STNM Hospital, Limited options"
72,Gangtok,Sikkim,Tier-3,1356,1.5 lakh,45,737102,Tadong,"University area, residential hub",None (NE gap),"STNM Hospital, Limited options"
73,Gangtok,Sikkim,Tier-3,1356,1.5 lakh,45,737103,Ranipool,"Entry point, growing commercial",None (NE gap),"STNM Hospital, Limited options"
74,Gangtok,Sikkim,Tier-3,1356,1.5 lakh,45,737135,Singtam,"Satellite town, regional hub",None (NE gap),"STNM Hospital, Limited options"
75,Gangtok,Sikkim,Tier-3,1356,1.5 lakh,45,737106,Deorali,"Near Gangtok, residential",None (NE gap),"STNM Hospital, Limited options"
